boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_rank_3,inert_rank_3_inc,inert_rank_3_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,inert_cyclic_4,inert_cyclic_4_rank_same,inert_cyclic_5,inert_cyclic_5_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_rank_3,ramified_rank_3_inc,ramified_rank_3_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same,ramified_cyclic_4,ramified_cyclic_4_rank_same,ramified_cyclic_5,ramified_cyclic_5_rank_same
268435456,81594634,37397499,6799548,37397587,33716949,3680550,34050755,3346744,33716949,33716949,0,3677992,333783,3344209,2558,23,2535,0,0,0,33716949,0,3363982,3058976,299388,271984,14562,13193,60,56,0,0,6131779,667769,6192157,607391,6131779,6131779,0,667317,60372,606945,452,6,446,0,0,0,6131779,0,613143,557591,52556,47870,1618,1484,0,0,0,0
536870912,163189216,74795007,13599093,74795116,67421876,7373131,68089264,6705743,67421876,67421876,0,7367915,667345,6700570,5216,43,5173,0,0,0,67421876,0,6728538,6119081,604609,549913,34505,31339,263,237,0,0,12261306,1337787,12382283,1216810,12261306,12261306,0,1336841,120965,1215876,946,12,934,0,0,0,12261306,0,1224753,1113916,107854,98114,4225,3840,9,6,0,0
805306368,244783758,112192574,20398638,112192546,101121153,11071421,102123794,10068780,101121153,101121153,0,11063411,1002571,10060840,8010,70,7940,0,0,0,101121153,0,10095378,9180781,910869,828102,56661,51497,503,460,0,0,18390258,2008380,18572286,1826352,18390258,18390258,0,2006962,182011,1824951,1418,17,1401,0,0,0,18390258,0,1836378,1669734,163333,148648,7227,6550,24,19,0,0
1073741824,326378404,149590098,27198200,149590106,134821043,14769055,136159210,13430888,134821043,134821043,0,14758351,1338079,13420272,10704,88,10616,0,0,0,134821043,0,13461443,12241191,1216697,1106113,79353,72197,858,771,0,0,24519227,2678973,24762429,2435771,24519227,24519227,0,2677081,243183,2433898,1892,19,1873,0,0,0,24519227,0,2447850,2225454,218728,198909,10467,9504,36,31,0,0
1342177280,407973015,186987618,33997776,186987621,168520947,18466671,170195200,16792418,168520947,168520947,0,18453277,1674129,16779148,13394,124,13270,0,0,0,168520947,0,16827242,15301013,1521770,1383328,102998,93670,1267,1137,0,0,30648695,3349081,30952825,3044951,30648695,30648695,0,3346707,304107,3042600,2374,23,2351,0,0,0,30648695,0,3058360,2780347,274382,249561,13909,12642,56,50,0,0
1610612736,489567600,224385156,40797307,224385137,202221306,22163850,204230807,20154349,202221306,202221306,0,22147686,2009357,20138329,16164,144,16020,0,0,0,202221306,0,20191398,18359889,1827488,1661288,127087,115605,1713,1547,0,0,36776931,4020376,37141689,3655618,36776931,36776931,0,4017514,364730,3652784,2862,28,2834,0,0,0,36776931,0,3670303,3336925,329739,299975,17395,15817,77,67,0,0
1879048192,571162106,261782610,47596824,261782672,235918942,25863668,238264356,23518254,235918942,235918942,0,25844710,2345249,23499461,18958,165,18793,0,0,0,235918942,0,23558656,21420902,2132065,1938514,151734,138003,2255,2042,0,0,42904899,4691925,43330325,4266499,42904899,42904899,0,4688551,425395,4263156,3374,31,3343,0,0,0,42904899,0,4282070,3893347,385130,350396,21242,19319,109,94,0,0
2147483648,652756663,299180181,54396385,299180097,269615221,29564960,272297498,26882683,269615221,269615221,0,29543219,2682090,26861129,21741,187,21554,0,0,0,269615221,0,26926165,24481924,2437788,2216254,176443,160395,2823,2556,0,0,49031969,5364416,49518509,4877876,49031969,49031969,0,5360513,486507,4874006,3903,33,3870,0,0,0,49031969,0,4894535,4450058,440760,401043,25082,22786,136,119,0,0
2415919104,734351293,336577631,61195934,336577728,303311326,33266305,306329570,30248061,303311326,303311326,0,33241845,3018029,30223816,24460,215,24245,0,0,0,303311326,0,30293636,27543382,2743483,2494272,201319,183065,3407,3097,0,0,55158404,6037530,55706542,5489392,55158404,55158404,0,6033147,548103,5485044,4383,35,4348,0,0,0,55158404,0,5507348,5006749,496576,451733,29050,26408,173,154,0,0
2684354560,815945969,373975209,67995456,373975304,337008860,36966349,340363898,33611311,337008860,337008860,0,36939006,3354800,33584206,27343,238,27105,0,0,0,337008860,0,33658326,30601466,3050084,2773000,226581,206095,4015,3645,0,0,61286168,6709288,61895166,6100290,61286168,61286168,0,6704430,608961,6095469,4858,37,4821,0,0,0,61286168,0,6118892,5562682,552348,502625,32990,29982,200,180,0,0
2952790016,897540596,411372677,74795040,411372879,370708158,40664519,374399299,36973378,370708158,370708158,0,40634309,3690878,36943431,30210,263,29947,0,0,0,370708158,0,37022408,33659480,3355109,3050397,252107,229308,4685,4246,0,0,67414336,7380704,68084392,6710648,67414336,67414336,0,7375362,670013,6705349,5342,43,5299,0,0,0,67414336,0,6730000,6118131,608168,553405,36944,33587,250,226,0,0
3221225472,979135255,448770304,81594622,448770329,404406697,44363607,408433694,40336610,404406697,404406697,0,44330571,4026717,40303854,33035,280,32755,1,0,1,404406697,0,40387117,36718583,3660690,3328146,277403,252258,5361,4867,0,0,73541978,8052644,74273088,7321534,73541978,73541978,0,8046825,731062,7315763,5819,48,5771,0,0,0,73541978,0,7341355,6673925,664133,604265,41041,37304,296,269,0,0
3489660928,1060729747,486167813,88394138,486167796,438105038,48062775,442468623,43699190,438105038,438105038,0,48026939,4363275,43663664,35835,310,35525,1,0,1,438105038,0,43751471,39776300,3966480,3606388,303008,275542,5980,5434,0,0,79668873,8725265,80461039,7933099,79668873,79668873,0,8718944,792113,7926831,6321,53,6268,0,0,0,79668873,0,7953710,7230741,719731,654751,45159,41029,344,310,0,0
3758096384,1142324300,523565401,95193659,523565240,471801884,51763517,476501691,47063710,471801884,471801884,0,51724865,4699482,47025383,38651,325,38326,1,0,1,471801884,0,47116216,42835215,4273318,3885314,328590,298740,6741,6114,0,0,85796105,9397554,86649375,8544284,85796105,85796105,0,9390754,853215,8537539,6800,55,6745,0,0,0,85796105,0,8565684,7786920,775252,705354,49421,44907,397,358,0,0
4026531840,1223918932,560962877,101993306,560962749,505495639,55467238,510532306,50430571,505495639,505495639,0,55425767,5036316,50389451,41470,351,41119,1,0,1,505495639,0,50483874,45896380,4580168,4164229,354248,322065,7477,6777,0,0,91922595,10070711,92837046,9156260,91922595,91922595,0,10063468,914394,9149074,7243,57,7186,0,0,0,91922595,0,9178416,8343883,830929,756012,53682,48780,441,399,0,0
4294967296,1305513476,598360413,108792783,598360280,539191795,59168618,544564155,53796258,539191795,539191795,0,59124417,5371988,53752429,44200,372,43828,1,0,1,539191795,0,53849940,48956748,4886305,4442773,379920,345423,8252,7485,0,0,98049890,10742893,99025333,9767450,98049890,98049890,0,10735153,975386,9759767,7740,57,7683,0,0,0,98049890,0,9790280,8900191,886336,806375,58046,52758,491,443,0,0
4563402752,1387108056,635757927,115592332,635757797,572888920,62869007,578597303,57160624,572888920,572888920,0,62822068,5707989,57114079,46938,394,46544,1,0,1,572888920,0,57214375,52015254,5192664,4721518,405897,369024,9132,8283,0,0,104177295,11415037,105213700,10378632,104177295,104177295,0,11406812,1036345,10370467,8225,60,8165,0,0,0,104177295,0,10402229,9456533,941759,856845,62279,56599,545,490,0,0
4831838208,1468702640,673155411,122391897,673155332,606583846,66571565,612628967,60526444,606583846,606583846,0,66521867,6044705,60477162,49697,416,49281,1,0,1,606583846,0,60580647,55075041,5499308,5000335,431899,392698,10013,9088,0,0,110305273,12086624,111402383,10989514,110305273,110305273,0,12077892,1097047,10980845,8732,63,8669,0,0,0,110305273,0,11013295,10012373,997350,907365,66642,60562,605,545,0,0
5100273664,1550297270,710552892,129191414,710552964,640276986,70275906,646657261,63895631,640276986,640276986,0,70223483,6379835,63843648,52422,440,51982,1,0,1,640276986,0,63948273,58137761,5806397,5279686,457970,416355,10843,9846,0,0,116430824,12760590,117589083,11602331,116430824,116430824,0,12751381,1158191,11593190,9209,68,9141,0,0,0,116430824,0,11626389,10569808,1053232,958164,71095,64618,665,600,0,0
5368709120,1631891825,747950342,135990950,747950533,673965873,73984469,680682770,67267572,673965873,673965873,0,73929187,6716428,67212759,55281,469,54812,1,0,1,673965873,0,67318961,61202091,6114161,5559656,484375,440403,11690,10609,0,0,122558211,13432739,123777686,12213264,122558211,122558211,0,13423048,1219403,12203645,9691,72,9619,0,0,0,122558211,0,12238301,11125898,1108610,1008542,75395,68535,742,670,0,0
5637144576,1713486491,785347931,142790522,785348038,707661519,77686412,714715173,70632758,707661519,707661519,0,77628350,7053164,70575186,58061,490,57571,1,0,1,707661519,0,70683919,64260703,6421256,5838822,510645,464298,12530,11363,0,0,128685633,14104889,129965675,12824847,128685633,128685633,0,14094696,1279967,12814729,10193,75,10118,0,0,0,128685633,0,12850037,11682415,1164099,1059068,79750,72518,810,728,0,0
5905580032,1795081019,822745434,149590012,822745573,741359630,81385804,748748667,73996767,741359630,741359630,0,81324928,7388530,73936398,60875,507,60368,1,0,1,741359630,0,74047992,67319606,6726561,6116384,536979,488251,13396,12157,0,0,134812295,14777717,136152964,13437048,134812295,134812295,0,14767007,1340587,13426420,10710,82,10628,0,0,0,134812295,0,13462384,12239551,1219642,1109607,84091,76460,890,802,0,0
6174015488,1876675591,860142927,156389588,860143076,775055624,85087303,782780659,77362268,775055624,775055624,0,85023747,7724502,77299245,63555,533,63022,1,0,1,775055624,0,77414570,70380151,7031783,6394071,563110,512047,14284,12976,0,0,140939030,15450558,142341013,14048575,140939030,140939030,0,15439328,1401893,14037435,11230,90,11140,0,0,0,140939030,0,14074828,12796224,1274993,1159838,88520,80481,987,892,0,0
6442450944,1958270288,897540497,163189192,897540599,808749517,88790980,816810599,80729898,808749517,808749517,0,88724743,8060526,80664217,66236,556,65680,1,0,1,808749517,0,80782396,73442503,7337709,6672036,589453,535897,15185,13781,0,0,147065789,16123403,148528796,14660396,147065789,147065789,0,16111676,1462911,14648765,11727,96,11631,0,0,0,147065789,0,14687055,13352861,1330748,1210547,92817,84401,1056,956,0,0
6710886400,2039864898,934938071,169988775,934938052,842442218,92495853,850839363,84098708,842442218,842442218,0,92426823,8396570,84030253,69029,575,68454,1,0,1,842442218,0,84150259,76504769,7644566,6950904,615882,559965,16116,14615,0,0,153192606,16796169,154716866,15271909,153192606,153192606,0,16783927,1524161,15259766,12242,99,12143,0,0,0,153192606,0,15298998,13909143,1386473,1261106,97329,88497,1127,1020,0,0
