boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_rank_3,inert_rank_3_inc,inert_rank_3_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,inert_cyclic_4,inert_cyclic_4_rank_same,inert_cyclic_5,inert_cyclic_5_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same,ramified_cyclic_4,ramified_cyclic_4_rank_same
268435456,81594634,37883212,5828206,37883216,34771601,3111611,35011145,2872067,34771601,34771601,0,3110342,239539,2870803,1269,5,1264,0,0,0,34771601,0,2891113,2668426,212951,196579,6278,5798,0,0,0,0,5352736,475470,5389263,438943,5352736,5352736,0,475288,36526,438762,182,1,181,5352736,0,444141,410136,30629,28152,518,474,0,0
536870912,163189216,75766398,11656381,75766437,69532239,6234159,70011638,5754760,69532239,69532239,0,6231573,479388,5752185,2586,11,2575,0,0,0,69532239,0,5782888,5338021,432829,399510,15834,14633,22,21,0,0,10701406,954975,10774555,881826,10701406,10701406,0,954575,73146,881429,400,3,397,10701406,0,889417,821384,63696,58700,1462,1345,0,0
805306368,244783758,113649669,17484523,113649566,104289868,9359801,105010010,8639659,104289868,104289868,0,9355840,720123,8635717,3961,19,3942,0,0,0,104289868,0,8675242,8007384,653790,603545,26741,24727,67,61,0,0,16050265,1434258,16160270,1324253,16050265,16050265,0,1433650,110000,1323650,608,5,603,16050265,0,1334082,1231869,96949,89346,2619,2435,0,0
1073741824,326378404,151532763,23312763,151532878,139045470,12487293,140006391,11526372,139045470,139045470,0,12481945,960891,11521054,5348,30,5318,0,0,0,139045470,0,11568268,10677403,875102,807944,38441,35587,134,120,0,0,21396386,1916377,21543526,1769237,21396386,21396386,0,1915575,147134,1768441,802,6,796,21396386,0,1780937,1644213,130700,120563,3937,3665,1,0
1342177280,407973015,189416031,29140934,189416050,173801604,15614427,175003674,14412357,173801604,173801604,0,15607720,1202032,14405688,6707,38,6669,0,0,0,173801604,0,14458721,13344947,1098150,1013752,50639,46802,210,187,0,0,26743765,2397169,26928032,2212902,26743765,26743765,0,2396141,184260,2211881,1028,7,1021,26743765,0,2226025,2054901,164829,152057,5283,4921,4,2
1610612736,489567600,227299303,34969086,227299211,208555175,18744128,209998523,17300780,208555175,208555175,0,18736036,1443301,17292735,8092,47,8045,0,0,0,208555175,0,17352136,16015222,1320410,1218847,63185,58389,305,277,0,0,32090679,2878407,32311795,2657291,32090679,32090679,0,2877178,221109,2656069,1229,7,1222,32090679,0,2671184,2466033,199237,183764,6750,6267,7,5
1879048192,571162106,265182395,40797284,265182427,243308423,21873972,244992520,20189875,243308423,243308423,0,21864539,1684043,20180496,9433,54,9379,0,0,0,243308423,0,20245846,18685987,1542108,1423772,76183,70370,402,367,0,0,37438689,3358595,37697201,3100083,37438689,37438689,0,3357175,258502,3098673,1420,10,1410,37438689,0,3115538,2875732,233318,215233,8309,7700,10,8
2147483648,652756663,303065589,46625491,303065583,278061601,25003988,279986191,23079398,278061601,278061601,0,24993166,1924532,23068634,10822,58,10764,0,0,0,278061601,0,23138682,21356491,1764359,1628934,89597,82728,528,481,0,0,42785331,3840160,43080622,3544869,42785331,42785331,0,3838508,295278,3543230,1652,13,1639,42785331,0,3561359,3287528,267287,246560,9850,9132,12,10
2415919104,734351293,340948863,52453631,340948799,312813733,28135130,314979601,25969262,312813733,312813733,0,28122937,2165799,25957138,12193,69,12124,0,0,0,312813733,0,26032846,24027418,1986281,1833857,103158,95266,652,597,0,0,48132986,4320645,48465346,3988285,48132986,48132986,0,4318800,332347,3986453,1845,13,1832,48132986,0,4006173,3698005,301093,277762,11516,10670,18,16
2684354560,815945969,378832082,58281853,378832034,347565470,31266612,349972182,28859900,347565470,347565470,0,31253063,2406632,28846431,13549,80,13469,0,0,0,347565470,0,28927061,26698815,2208585,2039192,116615,107695,802,729,0,0,53479526,4802327,53849105,4432748,53479526,53479526,0,4800261,369563,4430698,2066,16,2050,53479526,0,4451748,4109186,335276,309246,13214,12245,23,21
2952790016,897540596,416715187,64110088,416715321,382317640,34397547,384965686,31749501,382317640,382317640,0,34382604,2647960,31734644,14943,86,14857,0,0,0,382317640,0,31820369,29369088,2430975,2244358,130310,120331,950,867,0,0,58826439,5283649,59233128,4876960,58826439,58826439,0,5281368,406672,4874696,2281,17,2264,58826439,0,4897152,4520299,369229,340513,14958,13857,29,27
3221225472,979135255,454598442,69938268,454598545,417067367,37531075,419957230,34641212,417067367,417067367,0,37514731,2889770,34624961,16344,93,16251,0,0,0,417067367,0,34715391,32040764,2653849,2449884,144415,133327,1076,986,0,0,64173036,5765232,64616544,5321724,64173036,64173036,0,5762765,443490,5319275,2467,18,2449,64173036,0,5342616,4931656,403403,372110,16710,15475,36,34
3489660928,1060729747,492481678,75766428,492481641,451817720,40663958,454948776,37532902,451817720,451817720,0,40646225,3130954,37515271,17733,102,17631,0,0,0,451817720,0,37610745,34713037,2875648,2654674,158590,146418,1242,1142,0,0,69518314,6248114,69998733,5767695,69518314,69518314,0,6245443,480400,5765043,2671,19,2652,69518314,0,5789274,5344179,437676,403750,18454,17077,39,37
3758096384,1142324300,530364850,81594571,530364879,486565792,43799058,489937427,40427423,486565792,486565792,0,43779951,3371524,40408427,19107,111,18996,0,0,0,486565792,0,40507547,37387580,3098274,2860136,172710,159400,1420,1311,0,0,74864919,6729652,75382393,6212178,74864919,74864919,0,6726763,517451,6209312,2889,23,2866,74864919,0,6234517,5755125,471911,435380,20290,18764,45,43
4026531840,1223918932,568248143,87422768,568248021,521318013,46930130,524929868,43318275,521318013,521318013,0,46909628,3611733,43297895,20502,122,20380,0,0,0,521318013,0,43399322,40057384,3321621,3066376,187047,172625,1638,1510,0,0,80212014,7210754,80766469,6656299,80212014,80212014,0,7207646,554429,6653217,3108,26,3082,80212014,0,6679285,6165595,506217,467140,22096,20437,48,45
4294967296,1305513476,606131397,93250928,606131151,556066128,50065269,559919396,46212001,556066128,556066128,0,50043382,3853143,46190239,21887,125,21762,0,0,0,556066128,0,46295570,42730531,3544622,3272235,201338,185764,1852,1709,0,0,85559174,7691754,86150370,7100558,85559174,85559174,0,7688427,591169,7097258,3327,27,3300,85559174,0,7123989,6576278,540431,498754,23951,22173,56,53
4563402752,1387108056,644014482,99079122,644014452,590815021,53199461,594908845,49105637,590815021,590815021,0,53176168,4093695,49082473,23293,129,23164,0,0,0,590815021,0,49191709,45404203,3766567,3477161,215827,199198,2065,1911,0,0,90905652,8173470,91533614,7545508,90905652,90905652,0,8169931,627933,7541998,3539,29,3510,90905652,0,7569356,6987622,574666,530384,25845,23932,64,60
4831838208,1468702640,681897628,104907312,681897700,625561544,56336084,629896458,52001170,625561544,625561544,0,56311388,4334781,51976607,24696,133,24563,0,0,0,625561544,0,52088923,48078812,3989537,3682831,230661,212861,2267,2103,0,0,96251285,8656027,96916417,7990895,96251285,96251285,0,8652286,665102,7987184,3741,30,3711,96251285,0,8015261,7399065,609193,562363,27757,25687,75,69
5100273664,1550297270,719780862,110735516,719780892,660313578,59467284,664888817,54892045,660313578,660313578,0,59441207,4575094,54866113,26077,145,25932,0,0,0,660313578,0,54981884,50749641,4211503,3887775,245342,226400,2478,2297,0,0,101599794,9135722,102301651,8433865,101599794,101599794,0,9131764,701824,8429940,3958,33,3925,101599794,0,8458810,7808655,643097,593657,29775,27552,82,76
5368709120,1631891825,757664116,116563696,757664013,695062731,62601385,699879193,57784923,695062731,695062731,0,62573945,4816313,57757632,27440,149,27291,0,0,0,695062731,0,57876812,53421676,4434220,4093326,260205,240122,2708,2508,0,0,106945967,9617729,107684761,8878935,106945967,106945967,0,9613536,738760,8874776,4193,34,4159,106945967,0,8904093,8219848,677580,625449,31769,29391,94,88
5637144576,1713486491,795547290,122391917,795547284,729809016,65738274,734866440,60680850,729809016,729809016,0,65709465,5057262,60652203,28809,162,28647,0,0,0,729809016,0,60774037,56096250,4657377,4299333,275095,253885,2956,2735,0,0,112292167,10099750,113067961,9323956,112292167,112292167,0,10095323,775759,9319564,4427,35,4392,112292167,0,9349742,8631239,711782,657060,33697,31171,102,94
5905580032,1795081019,833430369,128220126,833430524,764558250,68872119,769855755,63574614,764558250,764558250,0,68841964,5297335,63544629,30155,170,29985,0,0,0,764558250,0,63668224,58768605,4880396,4505343,290167,267742,3177,2939,0,0,117640006,10580120,118452705,9767421,117640006,117640006,0,10575480,812664,9762816,4640,35,4605,117640006,0,9794126,9041452,745615,688294,35622,32962,117,108
6174015488,1876675591,871313586,134048296,871313709,799309473,72004113,804848124,66465462,799309473,799309473,0,71972501,5538474,66434027,31612,177,31435,0,0,0,799309473,0,66560879,61438512,5102892,4710662,305321,281701,3409,3152,0,0,122986488,11061808,123836108,10212188,122986488,122986488,0,11056974,849585,10207389,4834,35,4799,122986488,0,10239622,9452740,779655,719784,37572,34750,125,115
6442450944,1958270288,909196905,139876454,909196929,834060189,75136716,839840035,69356870,834060189,834060189,0,75103751,5779660,69324091,32965,186,32779,0,0,0,834060189,0,69453956,64108702,5325643,4916284,320503,295731,3649,3374,0,0,128332399,11544055,129219010,10657444,128332399,128332399,0,11538993,886575,10652418,5062,36,5026,128332399,0,10685185,9864156,814170,751610,39493,36517,145,135
6710886400,2039864898,947080047,145704664,947080187,868810073,78269974,874830706,72249341,868810073,868810073,0,78235578,6020434,72215144,34396,199,34197,0,0,0,868810073,0,72347815,66780063,5548060,5121592,335815,309902,3888,3587,0,0,133678350,12026314,134602242,11102422,133678350,133678350,0,12021019,923853,11097166,5295,39,5256,133678350,0,11131449,10275919,847907,782746,41509,38358,154,143
6979321856,2121459561,984963323,151532835,984963403,903558428,81404895,909819862,75143461,903558428,903558428,0,81369055,6261229,75107826,35840,205,35635,0,0,0,903558428,0,75243028,69452750,5770735,5327183,351155,324074,4137,3819,0,0,139023588,12509247,139984529,11548306,139023588,139023588,0,12503735,960901,11542834,5512,40,5472,139023588,0,11577784,10688002,882268,814474,43506,40195,177,163
7247757312,2203054191,1022846565,157361065,1022846561,938307296,84539269,944809820,78036745,938307296,938307296,0,84502045,6502311,77999734,37224,213,37011,0,0,0,938307296,0,78138434,72125360,5992811,5532163,366378,338134,4422,4077,0,0,144369901,12991164,145367986,11993079,144369901,144369901,0,12985424,998043,11987381,5740,42,5698,144369901,0,12022939,11098782,916768,846350,45530,42077,187,172
7516192768,2284648697,1060729701,163189258,1060729738,973055205,87674496,979798458,80931243,973055205,973055205,0,87635852,6743034,80892818,38644,219,38425,0,0,0,973055205,0,81033626,74798197,6215844,5737993,381689,352301,4693,4327,0,0,149717166,13472092,150752083,12437175,149717166,149717166,0,13466151,1034871,12431280,5941,46,5895,149717166,0,12467523,11509313,950841,877807,47587,43976,200,184
7784628224,2366243312,1098612948,169017417,1098612947,1007801112,90811836,1014785467,83827481,1007801112,1007801112,0,90771802,6984129,83787673,40034,226,39808,0,0,0,1007801112,0,83930818,77472707,6439100,5944071,396902,366310,4982,4585,0,0,155063154,13954263,156135413,12882004,155063154,155063154,0,13948109,1072213,12875896,6154,46,6108,155063154,0,12913879,11921107,984393,908741,49631,45858,206,190
8053063680,2447837796,1136496043,174845589,1136496164,1042551183,93944860,1049775156,86720887,1042551183,1042551183,0,93903439,7223740,86679699,41421,233,41188,0,0,0,1042551183,0,86824749,80145151,6661211,6149250,412233,380472,5246,4826,0,0,160410307,14435282,161519644,13325945,160410307,160410307,0,14428920,1109291,13319629,6362,46,6316,160410307,0,13358565,12331466,1018499,940239,51631,47718,225,206
8321499136,2529432495,1174379386,180673761,1174379348,1077301230,97078156,1084765855,89613531,1077301230,1077301230,0,97035258,7464386,89570872,42898,239,42659,0,0,0,1077301230,0,89718501,82816619,6883660,6354508,427559,394644,5538,5101,0,0,165756760,14917001,166903116,13770645,165756760,165756760,0,14910435,1146310,13764125,6566,46,6520,165756760,0,13803916,12742592,1052673,971762,53606,49552,240,219
8589934592,2611027080,1212262602,186501908,1212262570,1112046576,100216026,1119751706,92510896,1112046576,1112046576,0,100171637,7704886,92466751,44389,244,44145,0,0,0,1112046576,0,92616735,85492768,7106088,6559788,442990,408835,5824,5360,0,0,171103280,15398628,172286654,14215254,171103280,171103280,0,15391859,1183327,14208532,6769,47,6722,171103280,0,14248841,13153323,1087083,1003524,55678,51450,257,235
