boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_rank_3,inert_rank_3_inc,inert_rank_3_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,inert_cyclic_4,inert_cyclic_4_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same,ramified_cyclic_4,ramified_cyclic_4_rank_same
268435456,81594634,38757467,4079712,38757455,36636654,2120813,36748418,2009049,36636654,36636654,0,2120574,111764,2008810,239,0,239,0,0,0,36636654,0,2029609,1922755,90386,85505,579,550,0,0,3857766,221946,3869379,210333,3857766,3857766,0,221917,11613,210304,29,0,29,3857766,0,213860,202661,8038,7627,19,16,0,0
536870912,163189216,77514870,8159475,77514871,73259710,4255160,73483680,4031190,73259710,73259710,0,4254655,223969,4030686,505,1,504,0,0,0,73259710,0,4062724,3848965,190208,180079,1723,1642,0,0,7712954,446521,7736136,423339,7712954,7712954,0,446462,23182,423280,59,0,59,7712954,0,428667,406430,17735,16794,60,56,0,0
805306368,244783758,116272334,12239158,116272266,109879076,6393258,110214732,6057602,109879076,109879076,0,6392449,335652,6056797,809,4,805,0,0,0,109879076,0,6095814,5775938,293385,277774,3250,3085,0,0,11568553,670605,11603465,635693,11568553,11568553,0,670524,34912,635612,81,0,81,11568553,0,642562,609144,27854,26368,108,100,0,0
1073741824,326378404,155029716,16318932,155029756,146494194,8535522,146942507,8087209,146494194,146494194,0,8534440,448307,8086133,1082,6,1076,0,0,0,146494194,0,8132800,7705787,396622,375580,5018,4766,0,0,15422912,896020,15469443,849489,15422912,15422912,0,895913,46530,849383,107,1,106,15422912,0,857538,813049,38177,36147,198,187,0,0
1342177280,407973015,193787265,20398623,193787127,183110872,10676393,183672144,10115121,183110872,183110872,0,10675031,561266,10113765,1362,6,1356,0,0,0,183110872,0,10167929,9633541,500151,473638,6951,6586,0,0,19278408,1120215,19336815,1061808,19278408,19278408,0,1120077,58406,1061671,138,1,137,19278408,0,1071193,1015384,48595,46012,289,275,0,0
1610612736,489567600,232544542,24478413,232544645,219727178,12817364,220400616,12143926,219727178,219727178,0,12815691,673431,12142260,1673,7,1666,0,0,0,219727178,0,12202189,11561301,604373,572294,9129,8665,0,0,23133741,1344672,23203718,1274695,23133741,23133741,0,1344507,69976,1274531,165,1,164,23133741,0,1284873,1218081,59247,56086,387,364,0,0
1879048192,571162106,271301962,28558075,271302069,256343912,14958050,257129820,14172142,256343912,256343912,0,14956102,785900,14170202,1948,8,1940,0,0,0,256343912,0,14235624,13487953,709058,671415,11420,10834,0,0,26988252,1569823,27070210,1487865,26988252,26988252,0,1569634,81956,1487678,189,2,187,26988252,0,1499124,1420902,70017,66309,493,467,0,0
2147483648,652756663,310059383,32637823,310059457,292962990,17096393,293861911,16197472,292962990,292962990,0,17094164,898912,16195252,2229,9,2220,0,0,0,292962990,0,16266261,15411266,814106,770880,13797,13106,0,0,30842473,1795350,30936390,1701433,30842473,30842473,0,1795128,93915,1701213,222,2,220,30842473,0,1713725,1624113,80787,76514,616,586,0,0
2415919104,734351293,348816927,36717547,348816819,329578766,19238161,330590736,18226191,329578766,329578766,0,19235656,1011960,18223696,2505,10,2495,0,0,0,329578766,0,18300082,17337679,919243,870487,16331,15530,0,0,34697470,2020077,34803092,1914455,34697470,34697470,0,2019826,105620,1914206,251,2,249,34697470,0,1927581,1826831,91499,86669,746,706,0,0
2684354560,815945969,387574362,40797340,387574267,366193011,21381351,367317885,20256477,366193011,366193011,0,21378550,1124863,20253687,2801,11,2790,0,0,0,366193011,0,20335353,19265782,1024331,969983,18866,17922,0,0,38551859,2245481,38669477,2127863,38551859,38551859,0,2245206,117616,2127590,275,2,273,38551859,0,2141861,2029697,102455,97048,890,845,0,0
2952790016,897540596,426331839,44877018,426331739,402810273,23521566,404047792,22284047,402810273,402810273,0,23518456,1237508,22280948,3110,11,3099,0,0,0,402810273,0,22367295,21190770,1129555,1069661,21606,20517,0,0,42405726,2471292,42535215,2341803,42405726,42405726,0,2470976,129487,2341489,316,2,314,42405726,0,2356610,2233156,113335,107353,1031,980,0,0
3221225472,979135255,465089244,48956794,465089217,439424444,25664800,440775335,24313909,439424444,439424444,0,25661377,1350879,24310498,3423,12,3411,0,0,0,439424444,0,24401495,23117374,1235577,1170046,24305,23078,0,0,46260719,2696075,46401987,2554807,46260719,46260719,0,2695727,141266,2554461,348,2,346,46260719,0,2570317,2435683,124217,117642,1193,1136,0,0
3489660928,1060729747,503846611,53036487,503846649,476037978,27808633,477501476,26345135,476037978,476037978,0,27804914,1463485,26341429,3719,13,3706,0,0,0,476037978,0,26436282,25045129,1341550,1270585,27082,25715,0,0,50114315,2922172,50267388,2769099,50114315,50114315,0,2921797,153071,2768726,375,2,373,50114315,0,2785289,2639430,135138,127993,1370,1303,0,0
3758096384,1142324300,542603953,57116198,542604149,512653184,29950769,514229372,28374581,512653184,512653184,0,29946761,1576174,28370587,4008,14,3994,0,0,0,512653184,0,28469142,26970961,1447658,1371173,29961,28453,0,0,53968812,3147386,54133694,2982504,53968812,53968812,0,3146983,164880,2982103,403,2,401,53968812,0,2999498,2842406,145946,138234,1539,1463,0,0
4026531840,1223918932,581361499,61195954,581361479,549267416,32094083,550956511,30404988,549267416,549267416,0,32089771,1689079,30400692,4312,16,4296,0,0,0,549267416,0,30503146,28897758,1553787,1471775,32838,31159,0,0,57823768,3372186,58000413,3195541,57823768,57823768,0,3371751,176643,3195108,435,2,433,57823768,0,3213117,3044880,156897,148577,1737,1651,0,0
4294967296,1305513476,620118838,65275690,620118948,585880479,34238359,587682636,32436202,585880479,585880479,0,34233703,1802140,32431563,4656,17,4639,0,0,0,585880479,0,32538245,30825582,1659712,1572095,35746,33886,0,0,61679595,3596095,61867966,3407724,61679595,61679595,0,3595634,188369,3407265,461,2,459,61679595,0,3425864,3246526,167859,158927,1911,1812,0,0
4563402752,1387108056,658876308,69355377,658876371,622492389,36383919,624407632,34468676,622492389,622492389,0,36378955,1915223,34463732,4964,20,4944,0,0,0,622492389,0,34574440,32754406,1765618,1672445,38897,36881,0,0,65534670,3820707,65734761,3620616,65534670,65534670,0,3820209,200089,3620120,498,2,496,65534670,0,3639377,3448891,178744,169250,2088,1979,0,0
4831838208,1468702640,697633710,73435130,697633800,659106196,38527514,661134301,36499409,659106196,659106196,0,38522267,2028085,36494182,5247,20,5227,0,0,0,659106196,0,36608748,34681661,1871620,1772788,41899,39733,0,0,69388755,4046375,69600587,3834543,69388755,69388755,0,4045844,211830,3834014,531,2,529,69388755,0,3853860,3652166,189697,179682,2287,2166,0,0
5100273664,1550297270,736391200,77514867,736391203,695718792,40672408,697860086,38531114,695718792,695718792,0,40666834,2141273,38525561,5574,21,5553,0,0,0,695718792,0,38643878,36609295,1977870,1873528,45084,42736,2,2,73243442,4271425,73467090,4047777,73243442,73243442,0,4270862,223646,4047216,563,2,561,73243442,0,4067682,3854730,200708,190145,2472,2341,0,0
5368709120,1631891825,775148605,81594580,775148640,732334257,42814348,734588379,40560226,732334257,732334257,0,42808487,2254101,40554386,5861,21,5840,0,0,0,732334257,0,40676156,38534650,2084053,1973992,48276,45742,2,2,77097674,4496906,77333067,4261513,77097674,77097674,0,4496308,235391,4260917,598,2,596,77097674,0,4281798,4057671,211856,200734,2654,2512,0,0
5637144576,1713486491,813906113,85674339,813906039,768949747,44956366,771316898,42589215,768949747,768949747,0,44950176,2367129,42583047,6190,22,6168,0,0,0,768949747,0,42708934,40460081,2189752,2074193,51485,48768,5,5,80951888,4722451,81199108,4475231,80951888,80951888,0,4721823,247218,4474605,628,2,626,80951888,0,4496022,4260688,222941,211213,2860,2704,0,0
5905580032,1795081019,852663498,89754052,852663469,805564080,47099418,808043887,44619611,805564080,805564080,0,47092922,2479784,44613138,6496,23,6473,0,0,0,805564080,0,44742534,42386678,2295561,2174531,54820,51922,7,7,84805766,4948286,85064893,4689159,84805766,84805766,0,4947633,259125,4688508,653,2,651,84805766,0,4710554,4463913,234014,221706,3065,2889,0,0
6174015488,1876675591,891420938,93833758,891420895,842176750,49244188,844769394,46651544,842176750,842176750,0,49237371,2592620,46644751,6817,24,6793,0,0,0,842176750,0,46776898,44313959,2402401,2275791,58063,54992,9,9,88659966,5173792,88930940,4902818,88659966,88659966,0,5173113,270972,4902141,679,2,677,88659966,0,4924641,4666733,245187,232308,3285,3100,0,0
6442450944,1958270288,930178434,97913469,930178385,878789044,51389390,881494076,48684358,878789044,878789044,0,51382271,2705008,48677263,7119,24,7095,0,0,0,878789044,0,48811923,46242411,2508921,2376673,61417,58169,10,10,92514392,5399077,92797233,5116236,92514392,92514392,0,5398368,282839,5115529,709,2,707,92514392,0,5138703,4869480,256164,242744,3501,3305,0,0
6710886400,2039864898,968935803,101993245,968935850,915403714,53532089,918221832,50713971,915403714,915403714,0,53524673,2818094,50706579,7416,24,7392,0,0,0,915403714,0,50845011,48168142,2615018,2477236,64634,61191,10,10,96367881,5625364,96662546,5330699,96367881,96367881,0,5624619,294663,5329956,745,2,743,96367881,0,5353504,5073049,267399,253398,3716,3509,0,0
6979321856,2121459561,1007693282,106073002,1007693277,952018702,55674580,954949801,52743481,952018702,952018702,0,55666858,2931074,52735784,7722,25,7697,0,0,0,952018702,0,52877996,50093955,2720685,2577274,68164,64542,13,13,100222144,5850858,100528548,5544454,100222144,100222144,0,5850088,306402,5543686,770,2,768,100222144,0,5567749,5276143,278399,263823,3940,3720,0,0
7247757312,2203054191,1046450764,110152737,1046450690,988634494,57816270,991678216,54772548,988634494,988634494,0,57808231,3043697,54764534,8039,25,8014,0,0,0,988634494,0,54909361,52018482,2827253,2678235,71602,67802,15,15,104076231,6076506,104394725,5758012,104076231,104076231,0,6075704,318492,5757212,802,2,800,104076231,0,5782108,5479000,289426,274272,4170,3940,0,0
7516192768,2284648697,1085208132,114232421,1085208144,1025247829,59960303,1028404644,56803488,1025247829,1025247829,0,59951962,3156788,56795174,8341,27,8314,0,0,0,1025247829,0,56943310,53945028,2933716,2779173,74916,70953,20,20,107930436,6301985,108260977,5971444,107930436,107930436,0,6301154,330539,5970615,831,2,829,107930436,0,5996371,5681819,300369,284623,4414,4173,0,0
7784628224,2366243312,1123965613,118312187,1123965512,1061864293,62101320,1065133398,58832215,1061864293,1061864293,0,62092665,3269077,58823588,8655,28,8627,0,0,0,1061864293,0,58974756,55869845,3039489,2879476,78397,74244,23,23,111784975,6527212,112127360,6184827,111784975,111784975,0,6526358,342383,6183975,854,2,852,111784975,0,6210287,5884461,311422,295124,4649,4390,0,0
8053063680,2447837796,1162722932,122391896,1162722968,1098476687,64246245,1101859136,60863796,1098476687,1098476687,0,64237292,3382421,60854871,8953,28,8925,0,0,0,1098476687,0,61009554,57797167,3145747,2980059,81964,77618,27,27,115639213,6752683,115993423,6398473,115639213,115639213,0,6751802,354208,6397594,881,2,879,115639213,0,6424401,6087363,322493,305595,4908,4636,0,0
8321499136,2529432495,1201480469,126471642,1201480384,1135089300,66391169,1138584418,62896051,1135089300,1135089300,0,66381918,3495089,62886829,9251,29,9222,0,0,0,1135089300,0,63043925,59724653,3252445,3081166,85514,80976,34,34,119493019,6978623,119859272,6612370,119493019,119493019,0,6977709,366251,6611458,914,2,912,119493019,0,6638924,6290491,333626,316091,5159,4876,0,0
8589934592,2611027080,1240237870,130551320,1240237890,1171702985,68534885,1175311546,64926324,1171702985,1171702985,0,68525347,3608531,64916816,9538,30,9508,0,0,0,1171702985,0,65077109,61650303,3359145,3182149,89051,84323,42,41,123346387,7204933,123724485,6826835,123346387,123346387,0,7203990,378096,6825894,943,2,941,123346387,0,6853803,6494112,344814,326699,5373,5083,0,0
8858370048,2692621746,1278995377,134631099,1278995270,1208316457,70678920,1212038001,66957376,1208316457,1208316457,0,70669085,3721514,66947571,9835,30,9805,0,0,0,1208316457,0,67111120,63577136,3465234,3282632,92676,87749,55,54,127201439,7429660,127591301,7039798,127201439,127201439,0,7428683,389860,7038823,977,2,975,127201439,0,7067385,6696476,355697,337047,5601,5300,0,0
9126805504,2774216208,1317752705,138710802,1317752701,1244928038,72824667,1248761848,68990857,1244928038,1244928038,0,72814486,3833780,68980706,10181,30,10151,0,0,0,1244928038,0,69145985,65505471,3572207,3384056,96234,91120,60,59,131055204,7655598,131456857,7253945,131055204,131055204,0,7654592,401651,7252941,1006,2,1004,131055204,0,7281688,6899574,367026,347805,5878,5562,0,0
