boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,inert_cyclic_4,inert_cyclic_4_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same,ramified_cyclic_4,ramified_cyclic_4_rank_same
268435456,81594634,39097416,3399772,39097446,37343583,1753833,37419918,1677498,37343583,37343583,0,1753742,76335,1677407,91,0,91,37343583,0,1697079,1623224,56542,54073,121,110,0,0,3248868,150904,3255535,144237,3248868,3248868,0,150898,6667,144231,6,0,6,3248868,0,147157,140640,3741,3591,0,0,0,0
536870912,163189216,78194826,6799536,78194854,74679286,3515540,74832317,3362509,74679286,74679286,0,3515303,153031,3362272,237,0,237,74679286,0,3392523,3244885,122345,116979,435,408,0,0,6496412,303124,6509636,289900,6496412,6496412,0,303106,13224,289882,18,0,18,6496412,0,294429,281546,8670,8330,7,6,0,0
805306368,244783758,117292246,10199319,117292193,112009997,5282249,112239647,5052599,112009997,112009997,0,5281879,229650,5052229,370,0,370,112009997,0,5091372,4870067,189616,181315,891,847,0,0,9742838,456481,9762712,436607,9742838,9742838,0,456452,19874,436578,29,0,29,9742838,0,442543,423227,13891,13336,18,15,0,0
1073741824,326378404,156389610,13599102,156389692,149339044,7050566,149645552,6744058,149339044,149339044,0,7050067,306508,6743559,499,0,499,149339044,0,6790073,6494927,258537,247243,1457,1389,0,0,12989687,609415,13016153,582949,12989687,12989687,0,609370,26466,582904,45,0,45,12989687,0,589969,564301,19377,18583,24,20,0,0
1342177280,407973015,195487076,16998869,195487070,186667303,8819773,187050858,8436218,186667303,186667303,0,8819141,383554,8435587,632,1,631,186667303,0,8488805,8119668,328256,313937,2080,1982,0,0,16236708,762161,16269867,729002,16236708,16236708,0,762110,33159,728951,51,0,51,16236708,0,737096,704978,24970,23933,44,40,0,0
1610612736,489567600,234584497,20398621,234584482,223997783,10586714,224458628,10125869,223997783,223997783,0,10585951,460844,10125107,763,1,762,223997783,0,10184491,9741164,398674,381296,2786,2647,0,0,19483322,915299,19523225,875396,19483322,19483322,0,915240,39903,875337,59,0,59,19483322,0,884370,845767,30805,29509,65,61,0,0
1879048192,571162106,273681756,23798458,273681892,261326201,12355555,261864219,11817537,261326201,261326201,0,12354642,538017,11816625,913,1,912,261326201,0,11882063,11364657,468999,448557,3580,3411,0,0,22729719,1068739,22776301,1022157,22729719,22729719,0,1068668,46582,1022086,71,0,71,22729719,0,1031905,986885,36678,35121,85,80,0,0
2147483648,652756663,312779198,27198189,312779276,298657711,14121487,299272334,13506864,298657711,298657711,0,14120437,614622,13505815,1050,1,1049,298657711,0,13575882,12985014,540197,516651,4358,4150,0,0,25975609,1222580,26028945,1169244,25975609,25975609,0,1222499,53336,1169163,81,0,81,25975609,0,1179918,1128375,42466,40681,115,107,0,0
2415919104,734351293,351876606,30597958,351876729,335984907,15891699,336676430,15200176,335984907,335984907,0,15890515,691521,15198994,1184,2,1182,335984907,0,15273772,14609200,611569,584863,5174,4931,0,0,29221602,1376356,29281610,1316348,29221602,29221602,0,1376262,60008,1316254,94,0,94,29221602,0,1327713,1269753,48409,46369,140,132,0,0
2684354560,815945969,390974092,33997753,390974124,373316869,17657223,374085164,16888928,373316869,373316869,0,17655920,768292,16887628,1303,3,1300,373316869,0,16966929,16228666,682924,653170,6067,5792,0,0,32468320,1529433,32535057,1462696,32468320,32468320,0,1529329,66737,1462592,104,0,104,32468320,0,1474707,1410254,54452,52178,170,160,0,0
