boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,inert_cyclic_4,inert_cyclic_4_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same
268435456,81594634,39437429,2719809,39437396,38054915,1382514,38102778,1334651,38054915,38054915,0,1382472,47863,1334609,42,0,42,38054915,0,1352931,1306089,29535,28514,6,6,0,0,2625234,94575,2628513,91296,2625234,2625234,0,94574,3279,91295,1,0,1,2625234,0,93057,89837,1517,1458,0,0
536870912,163189216,78874858,5439614,78874744,76096152,2778706,76192001,2682857,76096152,76096152,0,2778620,95849,2682771,86,0,86,76096152,0,2711299,2617728,67269,64992,52,51,0,0,5249106,190508,5255642,183972,5249106,5249106,0,190503,6536,183967,5,0,5,5249106,0,186824,180419,3679,3548,0,0
805306368,244783758,118312133,8159479,118312146,114137220,4174913,114281490,4030643,114137220,114137220,0,4174769,144270,4030499,144,0,144,114137220,0,4068078,3927486,106566,102890,125,123,0,0,7872840,286639,7882706,276773,7872840,7872840,0,286632,9866,276766,7,0,7,7872840,0,280627,270973,6005,5793,0,0
1073741824,326378404,157749520,10879283,157749601,152172934,5576586,152365441,5384079,152172934,152172934,0,5576388,192507,5383881,198,0,198,152172934,0,5428841,5241456,147320,142202,227,223,0,0,10496326,382957,10509454,369829,10496326,10496326,0,382948,13128,369820,9,0,9,10496326,0,374517,361676,8430,8143,1,1
1342177280,407973015,197186941,13599120,197186954,190208725,6978216,190449179,6737762,190208725,190208725,0,6977977,240454,6737523,239,0,239,190208725,0,6789235,6555269,188407,181924,335,330,0,0,13120120,479000,13136516,462604,13120120,13120120,0,478988,16396,462592,12,0,12,13120120,0,468008,451989,10977,10600,3,3
1610612736,489567600,236624303,16318904,236624393,228245396,8378907,228534023,8090280,228245396,228245396,0,8378622,288627,8089995,285,0,285,228245396,0,8147891,7867217,230245,222303,486,475,0,0,15743652,575252,15763415,555489,15743652,15743652,0,575240,19763,555477,12,0,12,15743652,0,561654,542352,13582,13121,4,4
1879048192,571162106,276061713,19038714,276061679,266279812,9781901,266616385,9445328,266279812,266279812,0,9781575,336573,9445002,326,0,326,266279812,0,9508363,9181195,272576,263185,636,622,0,0,18367015,671699,18390156,648558,18367015,18367015,0,671687,23141,648546,12,0,12,18367015,0,655495,632895,16188,15647,4,4
2147483648,652756663,315498995,21758562,315499106,304311490,11187505,304696287,10802708,304311490,304311490,0,11187124,384797,10802327,381,0,381,304311490,0,10871065,10497166,315276,304400,783,761,0,0,20990350,768212,21016862,741700,20990350,20990350,0,768196,26512,741684,16,0,16,20990350,0,749343,723444,18848,18235,5,5
2415919104,734351293,354936446,24478405,354936442,342346593,12589853,342779467,12156979,342346593,342346593,0,12589412,432874,12156538,441,0,441,342346593,0,12229982,11809482,358457,346112,973,944,0,0,23614047,864358,23643790,834615,23614047,23614047,0,864340,29743,834597,18,0,18,23614047,0,842809,813752,21523,20837,8,8
2684354560,815945969,394373874,27198209,394373886,380382792,13991082,380863904,13509970,380382792,380382792,0,13990588,481112,13509476,494,0,494,380382792,0,13587560,13120276,401852,388059,1176,1141,0,0,26236673,961536,26269823,928386,26236673,26236673,0,961514,33150,928364,22,0,22,26236673,0,937216,904839,24286,23513,12,12
2952790016,897540596,433811323,29918016,433811257,418417327,15393996,418947236,14864087,418417327,418417327,0,15393447,529909,14863538,549,0,549,418417327,0,14946645,14432152,445406,430033,1396,1353,0,0,28859724,1058292,28896174,1021842,28859724,28859724,0,1058266,36450,1021816,26,0,26,28859724,0,1031154,995579,27096,26221,16,16
3221225472,979135255,473248674,32637843,473248738,456451588,16797086,457029768,16218906,456451588,456451588,0,16796492,578180,16218312,594,0,594,456451588,0,16305706,15744455,489154,472272,1632,1585,0,0,31483207,1154636,31523059,1114784,31483207,31483207,0,1154608,39852,1114756,28,0,28,31483207,0,1124679,1085795,29912,28944,17,17
3489660928,1060729747,512686020,35357657,512686070,494485690,18200330,495112320,17573700,494485690,494485690,0,18199686,626630,17573056,644,0,644,494485690,0,17664631,17056538,533175,514697,1880,1821,0,0,34106843,1250814,34150071,1207586,34106843,34106843,0,1250784,43228,1207556,30,0,30,34106843,0,1218008,1175867,32755,31669,21,20
3758096384,1142324300,552123414,38077477,552123409,532522661,19600753,533197468,18925946,532522661,532522661,0,19600053,674807,18925246,700,0,700,532522661,0,19020986,18366227,576912,556938,2155,2081,0,0,36729414,1348063,36775923,1301554,36729414,36729414,0,1348029,46509,1301520,34,0,34,36729414,0,1312402,1267075,35600,34419,27,26
4026531840,1223918932,591560773,40797300,591560859,570556828,21003945,571279779,20280994,570556828,570556828,0,21003195,722951,20280244,750,0,750,570556828,0,20379840,19678511,620913,599370,2442,2363,0,0,39352923,1444377,39402835,1394465,39352923,39352923,0,1444342,49912,1394430,35,0,35,39352923,0,1405765,1357126,38544,37272,33,32
4294967296,1305513476,630998139,43517108,630998229,608590684,22407455,609362188,21635951,608590684,608590684,0,22406647,771504,21635143,808,0,808,608590684,0,21739256,20990869,664629,641599,2762,2675,0,0,41976557,1540551,42029851,1487257,41976557,41976557,0,1540511,53294,1487217,40,0,40,41976557,0,1499129,1447196,41346,39986,36,35
4563402752,1387108056,670435560,46236931,670435565,646624078,23811482,647444378,22991182,646624078,646624078,0,23810624,820300,22990324,858,0,858,646624078,0,23098653,22302973,708919,684396,3052,2955,0,0,44600403,1636528,44656996,1579935,44600403,44600403,0,1636485,56593,1579892,43,0,43,44600403,0,1592249,1537115,44191,42734,45,43
4831838208,1468702640,709872858,48956772,709873010,684658445,25214413,685527107,24345751,684658445,684658445,0,25213502,868661,24344841,911,1,910,684658445,0,24456848,23614401,753284,727177,3370,3263,0,0,47223343,1733429,47283164,1673608,47223343,47223343,0,1733383,59821,1673562,46,0,46,47223343,0,1686360,1628080,46976,45437,47,45
5100273664,1550297270,749310326,51676559,749310385,722692261,26618065,723609725,25700601,722692261,722692261,0,26617099,917463,25699636,966,1,965,722692261,0,25816091,24926383,797318,769681,3690,3572,0,0,49846732,1829827,49909858,1766701,49846732,49846732,0,1829776,63126,1766650,51,0,51,49846732,0,1779772,1718286,49951,48313,53,51
5368709120,1631891825,788747706,54396370,788747749,760727944,28019762,761693949,27053757,760727944,760727944,0,28018739,966004,27052735,1023,1,1022,760727944,0,27173018,26236271,841702,812577,4019,3887,0,0,52469841,1926529,52536273,1860097,52469841,52469841,0,1926475,66432,1860043,54,0,54,52469841,0,1873543,1808855,52870,51128,62,60
5637144576,1713486491,828185130,57116236,828185125,798762331,29422799,799776731,28408399,798762331,798762331,0,29421723,1014399,28407324,1076,1,1075,798762331,0,28531040,27547430,886365,855720,4318,4174,0,0,55092994,2023242,55162736,1953500,55092994,55092994,0,2023187,69742,1953445,55,0,55,55092994,0,1967280,1899371,55832,54001,75,73
