boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_rank_3,inert_rank_3_inc,inert_rank_3_same,inert_rank_4,inert_rank_4_inc,inert_rank_4_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,inert_cyclic_4,inert_cyclic_4_rank_same,inert_cyclic_5,inert_cyclic_5_rank_same,inert_cyclic_6,inert_cyclic_6_rank_same,inert_cyclic_7,inert_cyclic_7_rank_same,inert_cyclic_8,inert_cyclic_8_rank_same,inert_cyclic_9,inert_cyclic_9_rank_same,inert_cyclic_10,inert_cyclic_10_rank_same,inert_cyclic_11,inert_cyclic_11_rank_same
268435456,81594634,30597986,20398665,30597983,17571928,13026058,21651561,8946425,17571928,17571928,0,12535434,4034270,8501164,489650,45354,444296,974,9,965,0,0,0,17571928,0,8368702,5676318,2788616,1890292,929856,631057,310458,210090,102428,69498,29381,19831,5450,3720,543,358,0,0,0,0,0,0
536870912,163189216,61195959,40797324,61195933,35049525,26146434,43268529,17927430,35049525,35049525,0,25140791,8124076,17016715,1003414,94902,908512,2229,26,2203,0,0,0,35049525,0,16775981,11355690,5590711,3783657,1866447,1263713,622278,420662,205934,139417,63861,42978,13962,9506,1592,1075,25,17,0,0,0,0
805306368,244783758,91793903,61195923,91793932,52496011,39297892,64873875,26920028,52496011,52496011,0,37769577,12231716,25537861,1524745,146093,1378652,3570,55,3515,0,0,0,52496011,0,25201310,17040853,8397558,5676588,2801952,1895775,933969,631020,309605,209256,99003,66639,23147,15710,2897,1937,136,83,0,0,0,0
1073741824,326378404,122391909,81594599,122391896,69923970,52467939,86471651,35920258,69923970,69923970,0,50413041,16349679,34063362,2049951,197922,1852029,4947,80,4867,0,0,0,69923970,0,33633464,22727643,11209239,7571896,3739247,2527437,1245963,841414,413728,279450,134111,90306,32521,22040,4451,2972,317,204,0,0,0,0
1342177280,407973015,152989865,101993249,152989901,87338729,65651136,108064385,44925480,87338729,87338729,0,63066844,20475264,42591580,2577881,250285,2327596,6411,107,6304,0,0,0,87338729,0,42073449,28416215,14022969,9468195,4676789,3158785,1557315,1051390,518329,350149,168493,113419,42648,28848,6323,4225,529,354,0,0,0,0
1610612736,489567600,183587849,122391863,183587888,104748854,78838995,129657745,53930104,104748854,104748854,0,75722198,24605961,51116237,3108906,302794,2806112,7891,136,7755,0,0,0,104748854,0,50514855,34101891,16836753,11364174,5614148,3789944,1868307,1260740,622811,420712,203119,136793,52981,35811,8465,5655,759,517,0,0,0,0
1879048192,571162106,214185793,142790513,214185800,122148870,92036923,151245433,62940360,122148870,122148870,0,88385567,28740220,59645347,3641940,356175,3285765,9415,168,9247,1,0,1,122148870,0,58959294,39790704,19652557,13259287,6552758,4421732,2180642,1471478,727708,491550,237577,160045,63368,42739,10676,7143,987,669,0,0,0,0
2147483648,652756663,244783715,163189160,244783788,139545894,105237821,172832802,71950913,139545894,139545894,0,101048406,32877167,68171239,4178469,409533,3768936,10945,208,10737,1,0,1,139545894,0,67403104,45476477,22468698,15155347,7491075,5052753,2492745,1681914,832443,562081,272226,183381,73837,49718,13033,8727,1245,841,0,0,0,0
2415919104,734351293,275381728,183587835,275381730,156933357,118448371,194417040,80964688,156933357,156933357,0,113721426,37020466,76700960,4714428,462976,4251452,12516,241,12275,1,0,1,156933357,0,75854277,51164812,25286502,17051736,8429359,5684607,2806069,1892817,936445,632013,306978,206594,84838,57035,15475,10346,1483,1000,0,0,0,0
2684354560,815945969,305979768,203986490,305979711,174317782,131661986,215999128,89980640,174317782,174317782,0,126396665,41163839,85232826,5251227,517236,4733991,14092,271,13821,2,0,2,174317782,0,84302323,56851150,28106086,18950372,9370203,6317592,3120026,2103964,1040712,702153,341601,229898,96002,64541,18002,12004,1710,1152,0,0,0,0
