boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same
268435456,81594634,39522426,2549843,39522365,38226848,1295578,38268413,1254013,38226848,38226848,0,1295553,41565,1253988,25,0,25,38226848,0,1270493,1229692,25058,24295,2,1,2467431,82412,2470020,79823,2467431,2467431,0,82410,2589,79821,2,0,2,2467431,0,81450,78896,960,925,0,0
536870912,163189216,79044733,5099671,79044812,76443667,2601066,76527314,2517419,76443667,76443667,0,2600993,83647,2517346,73,0,73,76443667,0,2543969,2462098,57000,55226,24,22,4933258,166413,4938655,161016,4933258,4933258,0,166410,5397,161013,3,0,3,4933258,0,163908,158597,2502,2416,0,0
805306368,244783758,118567111,7649492,118567155,114659523,3907588,114785648,3781463,114659523,114659523,0,3907489,126125,3781364,99,0,99,114659523,0,3816723,3693509,90700,87791,66,64,7398951,250541,7407144,242348,7398951,7398951,0,250536,8193,242343,5,0,5,7398951,0,246228,238176,4308,4167,0,0
1073741824,326378404,158089553,10199321,158089530,152873209,5216344,153041333,5048220,152873209,152873209,0,5216201,168124,5048077,143,0,143,152873209,0,5090173,4926085,125912,121880,116,112,9865348,333973,9876317,323004,9865348,9865348,0,333967,10969,322998,6,0,6,9865348,0,327761,316995,6205,6002,1,1
1342177280,407973015,197611889,12749159,197611967,191088112,6523777,191298400,6313489,191088112,191088112,0,6523588,210288,6313300,189,0,189,191088112,0,6362022,6156861,161372,156249,194,190,12331771,417388,12345376,403783,12331771,12331771,0,417381,13605,403776,7,0,7,12331771,0,409308,395971,8071,7803,2,2
1610612736,489567600,237134241,15299014,237134345,229300848,7833393,229553346,7580895,229300848,229300848,0,7833177,252498,7580679,216,0,216,229300848,0,7635785,7389582,197113,190826,279,271,14797204,501810,14813520,485494,14797204,14797204,0,501801,16316,485485,9,0,9,14797204,0,491772,475783,10026,9699,3,3
1879048192,571162106,276656683,17848818,276656605,267514897,9141786,267809308,8847375,267514897,267514897,0,9141529,294411,8847118,257,0,257,267514897,0,8907451,8620507,233698,226242,380,369,17262279,586539,17281292,567526,17262279,17262279,0,586529,19013,567516,10,0,10,17262279,0,574502,555876,12024,11637,3,3
2147483648,652756663,316179078,20398600,316178985,305725149,10453929,306061705,10117373,305725149,305725149,0,10453635,336556,10117079,294,0,294,305725149,0,10182795,9854852,270326,261728,514,499,19727730,670870,19749469,649131,19727730,19727730,0,670860,21739,649121,10,0,10,19727730,0,656713,635424,14140,13690,7,7
2415919104,734351293,355701267,22948423,355701603,343936666,11764601,344315706,11385561,343936666,343936666,0,11764267,379040,11385227,334,0,334,343936666,0,11456396,11087141,307221,297456,650,630,22193106,755317,22217555,730868,22193106,22193106,0,755304,24449,730855,13,0,13,22193106,0,739025,715088,16271,15759,8,8
2684354560,815945969,395223887,25498321,395223761,382147278,13076609,382568411,12655476,382147278,382147278,0,13076238,421133,12655105,371,0,371,382147278,0,12730764,12320603,344710,333762,764,740,24659200,839121,24686444,811877,24659200,24659200,0,839105,27244,811861,16,0,16,24659200,0,820702,794040,18395,17813,8,8
