boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_rank_3,inert_rank_3_inc,inert_rank_3_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,inert_cyclic_4,inert_cyclic_4_rank_same,inert_cyclic_5,inert_cyclic_5_rank_same,inert_cyclic_6,inert_cyclic_6_rank_same,inert_cyclic_7,inert_cyclic_7_rank_same,inert_cyclic_8,inert_cyclic_8_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_rank_3,ramified_rank_3_inc,ramified_rank_3_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same,ramified_cyclic_4,ramified_cyclic_4_rank_same,ramified_cyclic_5,ramified_cyclic_5_rank_same,ramified_cyclic_6,ramified_cyclic_6_rank_same,ramified_cyclic_7,ramified_cyclic_7_rank_same
268435456,81594634,33997749,13599099,33997786,25916075,8081674,27513453,6484296,25916075,25916075,0,8015368,1594729,6420639,66281,2649,63632,25,0,25,25916075,0,6424942,5147071,1288567,1032299,256898,205327,41860,33427,3057,2479,44,36,0,0,0,0,10373317,3225782,11006100,2592999,10373317,10373317,0,3199775,631873,2567902,25997,910,25087,10,0,10,10373317,0,2569362,2061721,514504,413321,101374,81162,13908,11199,627,499,0,0,0,0
536870912,163189216,67995488,27198190,67995538,51813441,16182047,55013767,12981721,51813441,51813441,0,16048160,3195016,12853144,133843,5310,128533,44,0,44,51813441,0,12857796,10298837,2576492,2063030,514889,412083,90719,72540,8060,6493,204,161,0,0,0,0,20736740,6461450,22006226,5191964,20736740,20736740,0,6408616,1267573,5141043,52821,1913,50908,13,0,13,20736740,0,5139811,4122978,1030461,826922,204276,163764,32187,25909,1877,1469,4,1,0,0
805306368,244783758,101993192,40797312,101993254,77704399,24288793,82510468,19482724,77704399,77704399,0,24086621,4798009,19288612,202111,8059,194052,61,1,60,77704399,0,19297688,15454473,3861746,3091975,771461,617558,141069,112823,14276,11473,381,310,0,0,0,0,31098267,9699045,33007534,7789778,31098267,31098267,0,9619255,1906318,7712937,79771,2949,76822,19,0,19,31098267,0,7712325,6183407,1544585,1239219,308082,246878,50691,40612,3545,2802,27,19,0,0
1073741824,326378404,135991015,54396429,135990960,103591813,32399202,110003891,25987124,103591813,103591813,0,32129129,6401383,25727746,269991,10694,259297,82,1,81,103591813,0,25737172,20610267,5150337,4123879,1028731,823410,191055,152676,21173,16979,661,535,0,0,0,0,41457917,12938512,44006489,10389940,41457917,41457917,0,12831826,2544653,10287173,106659,3919,102740,27,0,27,41457917,0,10285323,8244922,2059095,1651696,411977,330220,69991,56026,5392,4273,48,36,0,0
1342177280,407973015,169988713,67995535,169988767,129470814,40517899,137491100,32497613,129470814,129470814,0,40179256,8006884,32172372,338540,13399,325141,103,3,100,129470814,0,32183087,25770809,6438344,5154767,1287423,1030513,241276,192931,28126,22532,1000,820,0,0,0,0,51812925,16182610,55002359,12993176,51812925,51812925,0,16049094,3184471,12864623,133487,4963,128524,29,0,29,51812925,0,12862281,10309525,2574391,2064457,515118,412828,89773,71850,7451,5901,80,62,0,0
1610612736,489567600,203986515,81594572,203986513,155351616,48634899,164980286,39006229,155351616,155351616,0,48228103,9612568,38615535,406673,16099,390574,123,3,120,155351616,0,38627304,30929135,7726423,6186138,1545337,1237073,292369,233826,35252,28211,1418,1152,0,0,0,0,62168059,19426513,65998595,15595977,62168059,62168059,0,19266124,3824596,15441528,160351,5940,154411,38,0,38,62168059,0,15439018,12373371,3089952,2477501,617508,494910,109899,87967,9623,7683,124,96,0,0
1879048192,571162106,237984212,95193671,237984223,181237224,56746988,192473483,45510729,181237224,181237224,0,56271963,11217421,45054542,474878,18834,456044,147,4,143,181237224,0,45069295,36085890,9011755,7215526,1802630,1442665,343803,274865,42620,34094,1860,1502,0,0,0,0,72522526,22671145,76993980,18199691,72522526,72522526,0,22483602,4464461,18019141,187496,6993,180503,47,0,47,72522526,0,18014805,14436157,3606121,2891743,720454,577423,130060,104087,11986,9594,176,137,0,0
2147483648,652756663,271981907,108792817,271981939,207111444,64870463,219957849,52024058,207111444,207111444,0,64327045,12824890,51502155,543245,21511,521734,173,4,169,207111444,0,51517175,41247822,10300779,8246435,2061009,1649666,395533,316225,50204,40113,2345,1894,0,0,0,0,82880321,25912496,87992555,20800262,82880321,82880321,0,25698127,5104215,20593912,214317,8019,206298,52,0,52,82880321,0,20589623,16498220,4120544,3304152,822995,659495,150359,120319,14371,11535,235,191,0,0
2415919104,734351293,305979729,122391866,305979698,232987495,72992234,247443205,58536524,232987495,232987495,0,72380117,14431580,57948537,611930,24126,587804,187,4,183,232987495,0,57963187,46407221,11589950,9278811,2318843,1856194,447070,357480,58226,46532,2841,2299,0,0,0,0,93235789,29156077,98988958,23402908,93235789,93235789,0,28914808,5744094,23170714,241209,9075,232134,60,0,60,93235789,0,23164800,18561172,4635619,3716709,926542,742502,170503,136394,17044,13693,300,244,0,0
2684354560,815945969,339977419,135991026,339977524,258860820,81116599,274927861,65049558,258860820,258860820,0,80435677,16040239,64395438,680710,26798,653912,212,4,208,258860820,0,64411599,51567598,12879889,10311406,2576256,2062326,498151,398335,66432,53075,3350,2698,0,0,0,0,103591274,32399752,109984923,26006103,103591274,103591274,0,32131505,6383556,25747949,268178,10093,258085,69,0,69,103591274,0,25741033,20625272,5149842,4128756,1029753,825069,190754,152694,19720,15828,403,330,0,0
