boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_rank_3,inert_rank_3_inc,inert_rank_3_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,inert_cyclic_4,inert_cyclic_4_rank_same,inert_cyclic_5,inert_cyclic_5_rank_same,inert_cyclic_6,inert_cyclic_6_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_rank_3,ramified_rank_3_inc,ramified_rank_3_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same,ramified_cyclic_4,ramified_cyclic_4_rank_same,ramified_cyclic_5,ramified_cyclic_5_rank_same,ramified_cyclic_6,ramified_cyclic_6_rank_same
268435456,81594634,35697651,10199319,35697664,29901990,5795661,30727802,4969849,29901990,29901990,0,5778769,825499,4953270,16892,313,16579,0,0,0,29901990,0,4971788,4261338,709585,608337,92084,79056,5270,4504,42,35,0,0,8549889,1649430,8784679,1414640,8549889,8549889,0,1644809,234700,1410109,4621,90,4531,0,0,0,8549889,0,1418424,1215952,202296,173504,23358,20020,731,633,0,0,0,0
536870912,163189216,71395270,20398652,71395294,59792462,11602808,61446731,9948539,59792462,59792462,0,11568918,1653616,9915302,33889,653,33236,1,0,1,59792462,0,9944946,8523191,1419137,1216408,191161,164052,13502,11501,172,150,0,0,17094423,3304229,17564372,2834280,17094423,17094423,0,3294779,469766,2825013,9450,183,9267,0,0,0,17094423,0,2836854,2432198,404955,347489,50920,43571,2046,1751,4,4,0,0
805306368,244783758,107092947,30597963,107092848,89681898,17411049,92163264,14929683,89681898,89681898,0,17359927,2480383,14879544,51120,983,50137,2,0,2,89681898,0,14915007,12783814,2130193,1825810,291301,249926,23058,19670,368,324,0,0,25636084,4961879,26341194,4256769,25636084,25636084,0,4947545,704828,4242717,14334,282,14052,0,0,0,25636084,0,4257285,3650956,607533,520870,78935,67648,3774,3227,18,16,0,0
1073741824,326378404,142790540,40797305,142790559,119570622,23219918,122879696,19910844,119570622,119570622,0,23151449,3307724,19843725,68467,1350,67117,2,0,2,119570622,0,19884952,17044286,2840525,2434326,392445,336404,32948,28204,579,505,0,0,34175760,6621545,35116735,5680570,34175760,34175760,0,6602437,940592,5661845,19108,383,18725,0,0,0,34175760,0,5678703,4869895,810664,695037,107364,92013,5678,4875,28,25,0,0
1342177280,407973015,178488145,50996616,178488254,149454533,29033612,153592615,24895530,149454533,149454533,0,28948171,4136401,24811770,85439,1681,83758,2,0,2,149454533,0,24859557,21307933,3550366,3042297,493841,423534,43519,37245,888,761,0,0,42715510,8281106,43892751,7103865,42715510,42715510,0,8257166,1176761,7080405,23940,480,23460,0,0,0,42715510,0,7099952,6088479,1013524,868784,135791,116384,7851,6717,48,41,0,0
1610612736,489567600,214185854,61195952,214185794,179334491,34851363,184302341,29883513,179334491,179334491,0,34748612,4965772,29782840,102748,2078,100670,3,0,3,179334491,0,29835710,25572191,4261667,3652345,595234,510360,54792,46904,1209,1040,0,0,51254609,9941343,52667341,8528611,51254609,51254609,0,9912469,1412157,8500312,28874,575,28299,0,0,0,51254609,0,8521299,7307563,1216262,1042789,164851,141382,9989,8520,68,58,0,0
1879048192,571162106,249883440,71395239,249883427,209220569,40662871,215015741,34867699,209220569,209220569,0,40543018,5792752,34750266,119850,2420,117430,3,0,3,209220569,0,34807056,29834248,4971376,4260489,696968,597579,66030,56595,1588,1355,0,0,59794773,11600466,61443009,9952230,59794773,59794773,0,11566864,1647590,9919274,33602,646,32956,0,0,0,59794773,0,9941304,8525274,1419446,1217299,193729,166110,12288,10509,97,82,0,0
2147483648,652756663,285581026,81594593,285581044,239102617,46478409,245725907,39855119,239102617,239102617,0,46341210,6620537,39720673,137194,2753,134441,5,0,5,239102617,0,39780546,34098101,5682577,4869856,798162,684215,77908,66778,2017,1723,0,0,68334674,13259919,70219016,11375577,68334674,68334674,0,13221360,1883607,11337753,38559,735,37824,0,0,0,68334674,0,11361291,9742617,1622763,1391715,222410,190696,14767,12614,129,111,0,0
2415919104,734351293,321278676,91793927,321278690,268983112,52295564,276436434,44842242,268983112,268983112,0,52141177,7450217,44690960,154381,3105,151276,6,0,6,268983112,0,44755594,38361010,6393765,5479757,899563,771047,89773,77025,2482,2121,0,0,76874227,14919700,78994522,12799405,76874227,76874227,0,14876203,2119453,12756750,43497,842,42655,0,0,0,76874227,0,12781705,10960469,1825633,1565784,251344,215500,17354,14853,167,144,0,0
2684354560,815945969,356976287,101993270,356976412,298861602,58114685,307144371,49831916,298861602,298861602,0,57942691,8279304,49663387,171988,3465,168523,6,0,6,298861602,0,49732924,42626999,7104422,6089000,1000797,857612,101575,87227,2973,2549,0,0,85410883,16582387,87767156,14226114,85410883,85410883,0,16533869,2355329,14178540,48517,944,47573,1,0,1,85410883,0,14204393,12180698,2029002,1740280,280260,240243,19993,17131,221,188,0,0
2952790016,897540596,392674012,112192569,392674015,328740700,63933312,337852994,54821018,328740700,328740700,0,63743858,9108473,54635385,189447,3821,185626,7,0,7,328740700,0,54708814,46891931,7815070,6697818,1102861,945125,113649,97536,3464,2975,0,0,93945890,18246679,96538900,15653669,93945890,93945890,0,18193141,2591963,15601178,53537,1047,52490,1,0,1,93945890,0,15629605,13402483,2231333,1913948,309225,265087,22705,19425,273,235,0,0
3221225472,979135255,428371636,122391926,428371693,358614060,69757576,368557437,59814199,358614060,358614060,0,69550575,9939241,59611334,206993,4136,202857,8,0,8,358614060,0,59689817,51159987,8526313,7307528,1204520,1032357,125966,108072,3959,3390,0,0,102482990,19908936,105311792,17080134,102482990,102482990,0,19850497,2827651,17022846,58438,1151,57287,1,0,1,102482990,0,17051833,14622394,2434739,2088447,338058,289820,25540,21907,327,278,0,0
3489660928,1060729747,464069296,132591195,464069256,388492371,75576925,399264904,64804392,388492371,388492371,0,75352613,10768035,64584578,224304,4498,219806,8,0,8,388492371,0,64666359,55425453,9237071,7917039,1306253,1119461,138437,118782,4493,3843,0,0,111021754,21569441,114086535,18504660,111021754,111021754,0,21506170,3063532,18442638,63270,1249,62021,1,0,1,111021754,0,18472904,15840982,2637622,2262379,366868,314614,28392,24339,384,324,0,0
3758096384,1142324300,499766883,142790459,499766958,418375560,81391323,429976086,69790797,418375560,418375560,0,81149537,11595683,69553854,241777,4843,236934,9,0,9,418375560,0,69638909,59688025,9947154,8525524,1407500,1206514,150923,129487,5051,4304,0,0,119562039,23228420,122862381,19928078,119562039,119562039,0,23160147,3298991,19861156,68272,1351,66921,1,0,1,119562039,0,19892110,17058170,2840361,2436127,395901,339622,31321,26852,454,385,0,0
4026531840,1223918932,535464465,152989840,535464627,448256438,87208027,460686829,74777636,448256438,448256438,0,86948842,12425192,74523650,259172,5199,253973,13,0,13,448256438,0,74614028,63951249,10657269,9134402,1508694,1293142,163281,140106,5570,4751,0,0,128101289,24888551,131637484,21352356,128101289,128101289,0,24815370,3534753,21280617,73180,1442,71738,1,0,1,128101289,0,21311775,18275655,3043827,2610589,424939,364521,34310,29413,519,439,0,0
4294967296,1305513476,571162135,163189190,571162151,478132866,93029269,491393966,79768169,478132866,478132866,0,92752608,13255543,79497065,276648,5557,271091,13,0,13,478132866,0,79590861,68215973,11369408,9744762,1610537,1380416,175670,150680,6132,5234,0,0,136639318,26549872,140411539,22777651,136639318,136639318,0,26471697,3770671,22701026,78173,1550,76623,2,0,2,136639318,0,22733036,19494613,3246686,2784375,453958,389480,37424,32057,593,501,0,0
4563402752,1387108056,606859715,173388529,606859812,508014316,98845399,522105129,84754586,508014316,508014316,0,98551519,14084898,84466621,293864,5915,287949,16,0,16,508014316,0,84565894,72479353,12078589,10352821,1711800,1467066,188527,161653,6709,5728,0,0,145176422,28212107,149185377,24203152,145176422,145176422,0,28129052,4007297,24121755,83052,1658,81394,3,0,3,145176422,0,24155104,20713638,3450036,2958692,482709,414098,40528,34752,675,575,0,0
4831838208,1468702640,642557403,183587834,642557403,537897477,104659926,552817203,89740200,537897477,537897477,0,104348799,14913471,89435328,311111,6255,304856,16,0,16,537897477,0,89539299,76741765,12787609,10960761,1813236,1553912,201319,172617,7334,6271,2,2,153714840,29872994,157960752,25627082,153714840,153714840,0,29784995,4244158,25540837,87996,1754,86242,3,0,3,153714840,0,25576345,21931593,3652659,3132284,511593,438890,43646,37433,752,637,0,0
5100273664,1550297270,678255151,193787152,678254967,567775269,110479882,583526638,94728513,567775269,567775269,0,110151272,15744773,94406499,328592,6596,321996,18,0,18,567775269,0,94515406,81005225,13498745,11569826,1915024,1640999,214191,183675,7903,6771,3,3,162253345,31533807,166735639,27051513,162253345,162253345,0,31440814,4480459,26960355,92990,1835,91155,3,0,3,162253345,0,26996687,23149256,3856298,3306817,540275,463477,46736,40111,818,694,0,0
5368709120,1631891825,713952744,203986479,713952602,597654167,116298577,614235303,99717441,597654167,597654167,0,115952334,16574182,99378152,346223,6954,339269,20,0,20,597654167,0,99490927,85269530,14209224,12178634,2016557,1727920,227137,194795,8485,7270,4,3,170792883,33193596,175512081,28474398,170792883,170792883,0,33095717,4717274,28378443,97876,1924,95952,3,0,3,170792883,0,28416046,24365406,4059795,3481355,569051,488057,49915,42853,910,772,0,0
5637144576,1713486491,749650371,214185832,749650288,627535622,122114749,644945807,104704564,627535622,627535622,0,121751087,17402862,104348225,363639,7323,356316,23,0,23,627535622,0,104463234,89531456,14919894,12787622,2118633,1815328,240140,205953,9182,7863,4,3,179332347,34853485,184288026,29897806,179332347,179332347,0,34750652,4953639,29797013,102830,2040,100790,3,0,3,179332347,0,29835673,25582095,4263433,3656106,597441,512383,53120,45595,985,834,0,0
5905580032,1795081019,785347956,224385089,785347974,657418266,127929690,675657533,109690423,657418266,657418266,0,127548516,18231603,109316913,381150,7664,373486,24,0,24,657418266,0,109435287,93792687,15630053,13396338,2220265,1902436,253054,217017,9853,8432,4,3,187872515,36512574,193064546,31320543,187872515,187872515,0,36404830,5189880,31214950,107740,2151,105589,4,0,4,187872515,0,31254880,26798549,4466336,3830132,626263,537086,56279,48272,1072,911,0,0
6174015488,1876675591,821045549,234584457,821045585,687298026,133747523,706365764,114679785,687298026,687298026,0,133349034,19059692,114289342,398465,8046,390419,24,0,24,687298026,0,114410089,98057360,16340533,14005361,2321759,1989445,266130,228167,10514,9001,9,8,196412919,38171538,201841825,32742632,196412919,196412919,0,38058831,5426649,32632182,112703,2257,110446,4,0,4,196412919,0,32673601,28014165,4669547,4004258,654943,561648,59593,51137,1147,974,0,0
6442450944,1958270288,856743201,244783821,856743266,717177683,139565518,737074594,119668607,717177683,717177683,0,139149413,19888486,119260927,416081,8425,407656,24,0,24,717177683,0,119385431,102322035,17050569,14613654,2422935,2076220,279234,239403,11233,9605,11,10,204953430,39830391,210618518,34165303,204953430,204953430,0,39712842,5662740,34050102,117544,2348,115196,5,0,5,204953430,0,34092444,29230757,4872452,4177872,683931,586534,62795,53900,1220,1039,0,0
6710886400,2039864898,892440876,254983151,892440871,747059679,145381197,767784900,124655976,747059679,747059679,0,144947575,20716439,124231136,433597,8782,424815,25,0,25,747059679,0,124358713,106584856,17759960,15221906,2524287,2163246,292673,250919,11927,10198,15,11,213492186,41490965,219393729,35589422,213492186,213492186,0,41368594,5899107,35469487,122365,2436,119929,6,0,6,213492186,0,35511630,30447510,5076162,4352317,713303,611716,66167,56807,1332,1137,0,0
6979321856,2121459561,928138547,265182463,928138551,776943569,151194978,798496580,129641967,776943569,776943569,0,150743691,21543857,129199834,451261,9154,442107,26,0,26,776943569,0,129328476,110845135,18470930,15831370,2625723,2250280,305856,262197,12687,10837,19,15,222031217,43151246,228168859,37013604,222031217,222031217,0,43023985,6135106,36888879,127255,2536,124719,6,0,6,222031217,0,36932258,31665619,5278435,4525685,742307,636642,69546,59701,1439,1232,0,0
7247757312,2203054191,963836087,275381801,963836303,806817935,157018152,829200513,134635574,806817935,806817935,0,156549434,22373074,134176360,468690,9504,459186,28,0,28,806817935,0,134307473,115112826,19181958,16440915,2727272,2337421,319250,273688,13456,11491,25,19,230571093,44810708,236945353,38436448,230571093,230571093,0,44678535,6371609,38306926,132167,2651,129516,6,0,6,230571093,0,38350818,32881181,5481945,4700315,771356,661554,72885,62561,1531,1315,0,0
